datetime,iteration,gpu,cvMseMean,cvMseStd,cvSmapeMean,cvSmapeStd,holdoutRmse,holdoutSmape,holdoutMape,holdoutMse,holdoutIoa,full_parameters
1545133807,30,1,328.4864024066452,130.2668924099776,14.232906376608017,3.1953653500081156,15.146860723121053,11.362765396406454,0.2702591405236821,229.42738976562723,0.9221756507615899,"[336.49907091868357, 388.82356880170016, 1.4213425658638998, 502.9577199769171, 51.130673926457746, 156.93678122772405, 0.18922503845465644, 0.12404959696272412, 0.16132424100930257, 0.2233572565611982, 0.11495222559461776, 0.2467521008147754, 0.6924148305740971, 0.16917750553791316, 0.6177767870295057, 0.42417001000646065, 0.9439382052757949, 0.22191624272978633, 0.8433531413708685, 0.22953830534824937, 0.9005806877578191]"
1545134697,31,1,505.4583181581814,535.5885430314925,19.175417616869115,12.404167851552751,12.890133377272324,9.879968435055572,0.24621057112168976,166.15553848387,0.9411796314254047,"[310.3802207827233, 173.16357434701348, 2.156698053754199, 354.68475131845815, 232.72350796808973, 491.4465606925802, 0.16106654973876205, 0.14992411876482872, 0.14030971274450196, 0.05696174721148954, 0.03929795852313073, 0.0522258624713587, 0.15206206451914261, 0.4291655074905718, 0.387172225799113, 0.07583426559205853, 0.7486745225212457, 0.7380484371872305, 0.03624361608926452, 0.6256358168926469, 0.3266154336540312]"
1545135370,32,1,263.3231190460554,109.00598339188507,12.556558743518563,2.7647382985328397,12.90149897690158,9.934254231094156,0.2708502904373105,166.44867585099252,0.9384128711964339,"[174.31215417970066, 325.3901127729147, 2.678624205332475, 104.7125803529785, 204.87788783367392, 436.20148686804646, 0.09731478873339908, 0.09182267850862927, 0.034615872482245444, 0.12427792999960112, 0.029583368142832772, 0.1515695877348451, 0.04074080152946136, 0.12606307247684373, 0.11365174233251318, 0.5030258789815022, 0.48149742037915483, 0.10384743784232675, 0.2959002539633145, 0.7938892147598666, 0.08832840130047354]"
1545136201,33,1,336.45134294644805,113.34653669884852,14.52478128398578,3.041246692640163,15.412626094703372,11.622462303216265,0.27267369266973485,237.54904313513128,0.9237271366394537,"[162.70811500076573, 154.36903014303763, 1.357787426425656, 409.9210871076183, 64.91148963036005, 359.30945857935427, 0.1501888894573054, 0.017065971600196225, 0.020944636061802677, 0.03861775118605497, 0.22775051690771642, 0.1186931211256106, 0.6689962349822043, 0.2258354426883346, 0.04899529979478712, 0.7408259540571566, 0.7112714283780793, 0.9732423815891204, 0.9338323646823014, 0.16012854373129676, 0.27177125765294996]"
1545136953,34,1,472.34903178342,372.546547721316,16.803555744817306,7.6811895771427166,15.625488836267857,11.715777998132513,0.27018140730126067,244.15590137233144,0.9234330606772624,"[343.25170703713104, 371.4715833237136, 2.9852647889395008, 380.7869136307023, 217.0593862968368, 151.21021563114607, 0.17844191791257977, 0.23405112032563952, 0.22274467701567913, 0.13395653522792203, 0.21528985587864766, 0.04036575795661797, 0.3807814063273729, 0.29548365179995983, 0.17244861358553892, 0.3816873431689335, 0.11067087510433715, 0.5666755004583661, 0.7734187874071581, 0.5487365528523538, 0.29106770619306377]"
1545137661,35,1,291.4202307633583,126.83232107889866,13.772325240599391,3.496551929453299,13.333857217073644,10.100191993460578,0.26003803442475804,177.79174828530694,0.9334323672428411,"[164.3679576100841, 352.00737701501583, 2.552099045109819, 190.55969225162582, 200.77285364695888, 148.79519690431613, 0.045454251890025485, 0.154244333996785, 0.221588248174784, 0.09177993527614321, 0.2215542415387407, 0.20336939014797795, 0.5363311882316368, 0.36317808948289065, 0.8288262187795052, 0.05585419889355847, 0.7046056421129528, 0.47996287123579623, 0.44196526137685976, 0.3575223349086569, 0.8469169626199311]"
1545138175,36,1,333.9655240618784,117.58822709780353,14.360976504347198,2.6938413418802765,15.791885134191872,11.911456710861426,0.27170172567092327,249.38363609151023,0.9186570697107842,"[349.6017702767774, 312.2943927322479, 2.5163786685630662, 192.05652685829568, 155.83544848195461, 142.65084799935465, 0.10639110184581911, 0.08519506070372984, 0.2013163014607251, 0.2138215002692796, 0.16702824215435289, 0.02037230451087206, 0.9433849191144491, 0.5474743446641654, 0.7193004772269241, 0.1305483848114839, 0.2312159863044307, 0.3203359928502158, 0.23481679857047189, 0.34177896130555774, 0.788620739630803]"
1545139132,37,1,268.5177089168832,115.78898522591788,12.867245295010056,2.939907851259803,12.979724814963003,9.924352146239992,0.2536332963353711,168.47325627216634,0.9400858430332736,"[121.11398185700548, 328.40219765218353, 1.092155488032021, 97.68570633280157, 91.0810530932689, 185.18669799051017, 0.17934260325028067, 0.2379657697843328, 0.10270289652689792, 0.18668905113784143, 0.012452326190311114, 0.1673891086523547, 0.8059259369798819, 0.03519415837905299, 0.3773569435190345, 0.8404907781120446, 0.7978763474441457, 0.521164844053188, 0.28680320407105553, 0.10310474764323041, 0.46778545061708293]"
1545140076,38,1,232.65589491627162,106.02733481606157,12.03042341411543,2.9516042711753148,11.885951584936825,9.208944809557387,0.2531050940362548,141.27584507946221,0.9470028646887619,"[139.7181892758108, 403.0057741695458, 1.6222470970303309, 159.42617822259444, 35.324046621158175, 160.6255447288012, 0.036265820924166275, 0.1837848173306378, 0.05191181186628825, 0.17774833209774177, 0.06936617949689877, 0.14412471170984345, 0.2740619854497466, 0.8904053081523511, 0.36204734824163604, 0.23471913525656152, 0.20990706066247689, 0.9866397588341568, 0.4284115745963952, 0.37028185504095107, 0.26500664379018674]"
1545141578,39,1,390.8298227497451,185.120959876811,15.463873500910612,4.295050844187086,16.17202584540187,12.297733959000247,0.27905481195697596,261.534419944346,0.9205101596288839,"[54.34109785129991, 222.36667549469885, 0.003438149121159473, 280.24223060669595, 159.90817441014562, 322.34557419810255, 0.05601523094674275, 0.1701753359032176, 0.23086632683638186, 0.16407959819093787, 0.2059023070870768, 0.2380153676441819, 0.2417157868577653, 0.312604232266955, 0.08760223691115143, 0.005982863837819374, 0.8467173632966413, 0.18018465744338624, 0.510137011934236, 0.5897396987284386, 0.2306789351221472]"
1545142352,40,1,260.153164476024,116.49968001100672,12.6835566227947,3.0371916402375456,12.788062591724751,9.85967348276966,0.27224321933648754,163.53454484986997,0.938230770787146,"[242.36729638029186, 189.7663118520077, 1.0751620263622321, 321.1181773224035, 164.64425419980486, 368.3300956754691, 0.21369104051423915, 0.0631468806885863, 0.16594881625256214, 0.24427701668161408, 0.20719589899277252, 0.1603042088321837, 0.41175327330070305, 0.48960000889222877, 0.41710296873397434, 0.25864435517029993, 0.7707214493456814, 0.5967645407103294, 0.3687755566271982, 0.168561506256086, 0.035599344776338804]"
1545144287,41,1,303.10703370066335,126.59505633945528,13.535757702588018,3.312286300989793,13.139469283793169,9.917014431806733,0.2565054238010089,172.64565305974415,0.9389870791853981,"[40.25310726319995, 293.67651182379666, 2.8900331075317522, 180.18957020733808, 104.4518960959386, 388.9218299419706, 0.24153069641980646, 0.2385776898613109, 0.08002873386940104, 0.06285500243792076, 0.027148654183798693, 0.14814295603485544, 0.2479786861361165, 0.02189953095654651, 0.645453865556303, 0.9612916794334386, 0.3481253605795196, 0.7748854911321111, 0.7075901878487544, 0.21243636405795785, 0.33474744007452245]"
1545144839,42,1,325.7371983994437,110.46094601852822,13.99934963277244,2.697985146368448,15.944213427250704,11.853406116779794,0.2873804123833629,254.21794181372164,0.9143279309570741,"[190.5708983833072, 485.11360950433993, 1.4354895954094582, 82.78770608329967, 198.1033066807559, 226.3938141025358, 0.18822835950453798, 0.042547640918144655, 0.1848669066827282, 0.1375046194057963, 0.06207426934369789, 0.19587099293521204, 0.9177179035798608, 0.422901113912483, 0.8514869410754837, 0.6339406411673839, 0.055274404672616406, 0.44887077445475976, 0.6056492693854042, 0.8874544397229851, 0.420761984334407]"
1545146071,43,1,393.23284980042007,218.63406010032713,15.568648697664553,5.5411843397506155,14.484694859094462,10.986683715229635,0.26659035248763396,209.80638516107757,0.9285918162228798,"[80.13218445646517, 348.5689535905946, 2.63339074951332, 64.8251849099656, 123.21528648410887, 282.2587079544561, 0.05212632187448149, 0.13488008220938394, 0.19798439057003753, 0.023760870397652248, 0.15730313706337917, 0.11603504993685942, 0.7265580896901357, 0.2145610401204412, 0.38544561581592884, 0.18939837971777562, 0.5487591014409815, 0.6700475680840294, 0.6830298372972091, 0.261527708996817, 0.07519582440169204]"
1545146858,44,1,347.17053875349285,135.16454850132882,15.163130551125358,4.209131778738425,15.665393456174368,11.68050631682362,0.26948850038786337,245.4045521367507,0.9215309093769595,"[170.67388509474614, 196.72452190601487, 0.9115334310122205, 291.62796160928326, 112.21650822003875, 476.12305178750034, 0.025940840381993582, 0.07590177414365293, 0.1155314607096679, 0.11264453672249689, 0.15952539254116627, 0.07470760823740151, 0.6801144806070194, 0.34218753123763923, 0.07797715486283413, 0.816978656802411, 0.04669156146189152, 0.6355580006536199, 0.6705168999282757, 0.07985094383564251, 0.5733116582326939]"
1545147382,45,1,426.46294785058365,129.08280404290332,16.555330587692737,2.7879230700992075,19.050988084726335,14.940033266382967,0.30804439020753666,362.94014700438476,0.8980238605312469,"[282.39663596369695, 497.6877174144613, 1.2061426274957672, 222.68898565636644, 193.47423547617618, 241.82902371424157, 0.09552971899234305, 0.16232101749535677, 0.19310228308400662, 0.07687918885676698, 0.18143841373436742, 0.1720495508729578, 0.6088152695263133, 0.949084555420769, 0.1639173091978457, 0.8825807397805213, 0.05812577130608093, 0.038954277114632396, 0.7552955448084009, 0.5598960479224395, 0.6719928111357054]"
1545147994,46,1,319.46443965152173,135.18194136545446,14.332670209022606,3.809742773845367,14.305529234297394,10.578174916872056,0.25526298684489374,204.64816667333739,0.9291130430077187,"[360.3929365410747, 190.33043704513705, 1.89158202257446, 120.86696256637822, 125.5272647561987, 218.368342540321, 0.2051587693430196, 0.04001459535776085, 0.08147959474558741, 0.12165800003600943, 0.14344733303855597, 0.04219445701048974, 0.7417955690220941, 0.33614288656167185, 0.5573622412159935, 0.0576065542033522, 0.8331667385629352, 0.23903978215308297, 0.2496741002072066, 0.901787664642723, 0.7746593585943276]"
1545148687,47,1,247.43693096199223,110.86489218988156,12.29632156141692,2.81318479736064,12.45961143575899,9.526261186913855,0.25549235693354627,155.2419171300962,0.9426597527477532,"[344.997053154975, 308.2595555363034, 1.9398221317079072, 462.3789159151555, 132.38166462870896, 214.6259501196467, 0.1971153062896821, 0.16554472386985813, 0.04031135140411923, 0.08369993648239213, 0.12283220852281893, 0.21236083727631533, 0.16216522189717653, 0.24058081921316116, 0.6076362079575974, 0.21180358024983353, 0.5607737469315517, 0.34527319580430854, 0.5577783134341779, 0.3959315717111724, 0.4906332293762653]"
