station_european_code	component_code	component_caption	component_name	component_FWD	measurement_european_group_code	measurement_unit	measurement_group_start_date	measurement_group_end_date	measurement_latest_AIRBASE	measurement_european_code	measurement_start_date	measurement_end_date	measurement_automatic	measurement_technique_principle	measurement_equipment	integration_time_frequency	calibration_unit	height_sampling_point	length_sampling_line	location_sampling_point	sampling_time	sampling_time_unit	calibration_frequency	integration_time_unit	calibration_method	calibration_description
BEMBE10	5012	Pb in PM10	Lead in PM10 (aerosol)	no	100	µg/m3	2008-04-01	2008-07-14	2008-12-31	100	2008-04-01	2008-07-14	no	UNKNOWN	UNKNOWN			0	0		0					
BEMBE10	5014	Cd in PM10	Cadmium in PM10 (aerosol)	no	100	ng/m3	2008-04-01	2008-07-14	2008-12-31	100	2008-04-01	2008-07-14	no	UNKNOWN	UNKNOWN			0	0		0					
BEMBE10	5015	Ni in PM10	Nickel in PM10 (aerosol)	no	100	ng/m3	2008-04-01	2008-07-14	2008-12-31	100	2008-04-01	2008-07-14	no	UNKNOWN	UNKNOWN			0	0		0					
BEMBE10	5018	As in PM10	Arsenic in PM10 (aerosol)	no	100	ng/m3	2008-04-01	2008-07-14	2008-12-31	100	2008-04-01	2008-07-14	no	UNKNOWN	UNKNOWN			0	0		0					
BEMBE11	5012	Pb in PM10	Lead in PM10 (aerosol)	no	100	µg/m3	2008-04-01	2008-07-14	2008-12-31	100	2008-04-01	2008-07-14	no	UNKNOWN	UNKNOWN			0	0		0					
BEMBE11	5014	Cd in PM10	Cadmium in PM10 (aerosol)	no	100	ng/m3	2008-04-01	2008-07-14	2008-12-31	100	2008-04-01	2008-07-14	no	UNKNOWN	UNKNOWN			0	0		0					
BEMBE11	5015	Ni in PM10	Nickel in PM10 (aerosol)	no	100	ng/m3	2008-04-01	2008-07-14	2008-12-31	100	2008-04-01	2008-07-14	no	UNKNOWN	UNKNOWN			0	0		0					
BEMBE11	5018	As in PM10	Arsenic in PM10 (aerosol)	no	100	ng/m3	2008-04-01	2008-07-14	2008-12-31	100	2008-04-01	2008-07-14	no	UNKNOWN	UNKNOWN			0	0		0					
BEMBE15	5012	Pb in PM10	Lead in PM10 (aerosol)	no	100	µg/m3	2011-09-02		2012-12-31	100	2011-09-02		no	UNKNOWN	UNKNOWN	1		2	2		0			day		
BEMBE15	5014	Cd in PM10	Cadmium in PM10 (aerosol)	no	100	ng/m3	2011-09-02		2012-12-31	100	2011-09-02		no	LVS - automatic filter change 2,3 m3/h	UNKNOWN	1		2	2		0			day		
