station_european_code	station_local_code	country_iso_code	country_name	station_name	station_start_date	station_end_date	type_of_station	station_ozone_classification	station_type_of_area	station_subcat_rural_back	street_type	station_longitude_deg	station_latitude_deg	station_altitude	station_city	lau_level1_code	lau_level2_code	lau_level2_name	EMEP_station
BEPR012	61R012	BE	Belgium	61R012 - UCCLE	1997-01-01		Background		suburban		Wide street: L/H > 1.5	4.357275	50.797178	100	BRUSSELS				no
BEPR112	61R112	BE	Belgium	61R112 - UCCLE	2009-01-01		Background		suburban		Wide street: L/H > 1.5	4.357275	50.797178	100	BRUSSELS				no
BEPWOL1	61WOL1	BE	Belgium	61WOL1 - WOL.ST.L.	1997-01-01		Traffic		suburban		Highway: average speed vehicles > 80 km/h	4.424436	50.857121	77	BRUSSELS				no
BEPWOL2	61WOL2	BE	Belgium	61WOL2 - WOL.ST.L.	2006-07-01		Traffic		suburban		Unknown	4.424436	50.857121	77	WOLUWE ST LAMBRECHT				no
BEPN060	63N060	BE	Belgium	63N060 - HAVINNES	2011-01-01		Background		rural	near city		3.457631	50.616711	28	TOURNAI				no
BEPN063	63N063	BE	Belgium	63N063 - CORROY-L-GD	2008-08-01		Background		rural			4.667017	50.655992	145	CORROY LE GRAND				no
BEPN085	63N085	BE	Belgium	63N085 - VIELSALM	2008-01-01		Background		rural			6.000433	50.303780	490	VEZIN				no
BEPN093	63N093	BE	Belgium	63N093 - SINSIN	2008-01-01		Background		rural			5.233886	50.275047	265	SOMME-LEUZE				no
BEPN100	63N100	BE	Belgium	63N100 - DOURBES	2010-01-01		Background	rural background	rural			4.593503	50.096249	225	VIROINVAL				no
BEPN121	63N121	BE	Belgium	63N121 - OFFAGNE	2008-01-01		Background		rural			5.201114	49.877705	430	BERTRIX				no
BEPN132	63N132	BE	Belgium	63N132 - HABAY-L-N	2008-01-01		Background		rural	near city		5.629114	49.719864	375	HABAY LA NEUVE				no
BEPNT02	63NT02	BE	Belgium	63NT02 - ROBERTVILLE	2008-01-01		Background		rural			6.072514	50.511654	675	ROBERTVILLE				no
BEPNT05	63NT05	BE	Belgium	63NT05 - VIRELLES	2008-01-01	2010-09-20	Background		rural			4.342539	50.069039	12	CHIMAY				no
BEPNT07	63NT07	BE	Belgium	63NT07 - BON-SECOURS	2008-01-01		Background		suburban			3.589722	50.508442	30	PERUWELZ				no
BEPR222	63R222	BE	Belgium	63R222 - LIEGE	2008-01-01		Background		suburban			5.568928	50.613972	65	LIEGE				no
BEPR511	65R511	BE	Belgium	65R511 - MARCINELLE	2008-01-01		Background		suburban			4.423439	50.378150	157	CHARLEROI				no
BEPZEL3	60ZL01	BE	Belgium	6ZEL03 - ZELZATE	1995-01-01	2007-12-31	Industrial		suburban			3.807144	51.203674	6	ZELZATE				no
BEGAB02	90AB02	BE	Belgium	90AB02 - BERENDRECHT	2010-02-07		Background		suburban			4.320547	51.341259	10	BERENDRECHT				no
BEGBB15	90BB15	BE	Belgium	90BB15 - BRUGGE	2009-01-01		Background		urban			3.232828	51.213992	5	BRUGGE				no
BEGM802	90M802	BE	Belgium	90M802 - ANTWERPEN	2010-02-07		Industrial		urban			4.423125	51.261524	5	ANTWERPEN				no
BEGML01	90ML01	BE	Belgium	90ML01 - MECHELEN	2010-02-07		Traffic		urban		Wide street: L/H > 1.5	4.461097	51.016525	12	MECHELEN				no
BEGR701	90R701	BE	Belgium	90R701 - GENT	2009-01-01		Background	urban	urban			3.728047	51.058865	5	GENT				no
BEGR801	90R801	BE	Belgium	90R801 - BORGERHOUT	2009-01-01		Background	urban	urban		Wide street: L/H > 1.5	4.430547	51.210197	6	ANTWERPEN				no
BEGR811	90R811	BE	Belgium	90R811 - SCHOTEN	2009-01-01		Background	urban	suburban			4.490086	51.252636	8	ANTWERPEN				no
BEGRT01	90RT01	BE	Belgium	90RT01 - RETIE	2009-01-01		Background		rural			5.052011	51.231392	23	RETIE				no
