,MT00007,MT00008,MT00004,MT00003,MT00005,evaporation_from_the_top_of_canopy,forecast_albedo,lake_mix_layer_depth,lake_mix_layer_temperature,potential_evaporation,skin_reservoir_content,skin_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_4,sub_surface_runoff,surface_net_solar_radiation,surface_net_thermal_radiation,surface_runoff,surface_sensible_heat_flux,surface_solar_radiation_downwards,total_precipitation,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_4,MT00007-1,MT00008-1,MT00004-1,MT00003-1,MT00005-1
2020-09-28,89.66249999749999,80.33749999499999,79.51249999875,79.51249999875,71.79999999625001,-8.383479325857479e-06,0.1336290836334228,8.509978294372559,296.0914306640625,-0.0045300911879166,-9.627725755509734e-20,302.7448043823242,302.5634765625,299.04908752441406,300.6859130859375,2.4328764936853983e-05,10978231.25,-3639368.8359375,0.0,-1022139.375,12671106.139160156,0.0,0.218729019165039,0.1918510794639587,0.2750033736228943,86.39999999624999,79.87499999499998,78.8999999975,78.8999999975,72.02499999500002
2020-09-29,103.84999999999998,84.71249999624999,81.562499995,81.562499995,69.79999999625001,0.0,0.1333990097045898,8.758421897888184,295.88427734375,-0.0039695877349004,1.376828890897741e-07,302.64575576782227,302.19091796875,298.3365173339844,300.68865966796875,2.424934058353756e-05,10507785.0,-3406195.65625,6.109573291723791e-09,-1357923.25,12126070.921875,8.583068797918258e-07,0.1901350021362304,0.1923322081565857,0.2749232649803161,89.66249999749999,80.33749999499999,79.51249999875,79.51249999875,71.79999999625001
2020-09-30,104.07499999999999,92.13749999499998,93.4999999925,93.4999999925,80.412499995,-2.732802499849641e-07,0.1331475973129272,4.130217552185059,298.55206298828125,-0.0030614226707257,-2.3635613253847715e-20,306.0840606689453,304.6784362792969,298.5526313781738,300.6879272460937,2.4169916230221133e-05,10806703.25,-3664442.203125,1.356015388864762e-08,-1156103.8125,12466516.183105469,1.7195939676639682e-06,0.1666479110717773,0.1921653151512146,0.2748565077781677,103.84999999999998,84.71249999624999,81.562499995,81.562499995,69.79999999625001
2020-10-01,91.46249999624999,76.71249999624999,82.94999999875,82.94999999875,65.36249999750001,-2.4148729238504533e-08,0.1329187154769897,6.845274925231934,296.7118530273437,-0.0033799182274378,2.4438122636560522e-08,304.84490966796875,304.1961364746094,299.1080856323242,300.68023681640625,2.4090491876904707e-05,10017051.625,-3107022.6953125,6.109573291723791e-09,-1866089.5625,11549310.09375,5.742998610003269e-07,0.1482963562011718,0.1917089819908142,0.2747763991355896,104.07499999999999,92.13749999499998,93.4999999925,93.4999999925,80.412499995
2020-10-02,84.17499999374998,66.33749999499997,69.5499999975,69.5499999975,53.96249999250001,-2.983665035571903e-05,0.1326862573623657,6.361601829528809,297.13580322265625,-0.0020815191091969,-4.77049017932009e-20,306.08353424072266,305.60693359375,299.88427734375,300.67236328125,2.401106752358828e-05,10040996.0,-2623372.828125,3.61355589006962e-07,-2238638.625,11575042.87890625,6.80713801557431e-05,0.1385936737060547,0.19116872549057,0.274711549282074,91.46249999624999,76.71249999624999,82.94999999875,82.94999999875,65.36249999750001
2020-10-03,70.58749999374999,61.08749999749998,65.25,65.25,54.587499995,-2.887392292905133e-05,0.1324498653411865,11.234862327575684,295.18682861328125,-0.0045564267784357,-4.597017803287514e-20,305.57500076293945,305.9076538085937,300.62181091308594,300.66326904296875,2.393164317027185e-05,10387022.375,-3764670.5390625,1.2219146583447582e-08,-518615.4375,11972195.8359375,1.293420723413874e-06,0.1259994506835937,0.1904458403587341,0.2746333479881286,84.17499999374998,66.33749999499997,69.5499999975,69.5499999975,53.96249999250001
2020-10-04,87.8999999925,80.36249999874998,82.6749999975,82.6749999975,72.37499999750001,-5.953595064056572e-06,0.1322231292724609,5.148070335388184,298.45098876953125,-0.0025601636152714,-3.946496473936295e-20,306.3600769042969,306.21343994140625,300.7808837890625,300.65606689453125,2.385221881695543e-05,8345482.9375,-3002163.21875,2.0623440022404798e-07,-902415.625,9618306.33203125,3.5382696296437643e-05,0.1170425415039062,0.1896461844444275,0.2745646834373474,70.58749999374999,61.08749999749998,65.25,65.25,54.587499995
2020-10-05,89.4125,70.63749999624999,64.34999999624999,64.34999999624999,53.387499995000006,-1.2130032700952142e-05,0.1319847106933593,2.4625539779663086,300.92115783691406,-0.0017569361370988,-4.466913602042496e-20,307.9925537109375,307.3471069335937,300.98692321777344,300.650146484375,2.3778904449045516e-05,8420372.375,-2971656.3359375,1.573578138902576e-07,-1210025.1875,9699864.306640623,2.905317842305521e-05,0.1115169525146484,0.1888427138328552,0.2744998335838318,87.8999999925,80.36249999874998,82.6749999975,82.6749999975,72.37499999750001
2020-10-06,88.87499999874998,77.99999999874998,76.44999999625,76.44999999625,63.224999996250006,-0.000259902968537,0.1317617893218994,5.874571800231934,297.7058410644531,-0.0039428099407814,-2.255140888416721e-20,303.4085693359375,303.6202392578125,300.3361511230469,300.6446533203125,2.370253417893764e-05,9153875.5625,-2719714.875,7.380741635643062e-06,-2296028.96875,10548463.703125,0.0013702819414902,0.1292400360107422,0.1882032752037048,0.2744216322898865,89.4125,70.63749999624999,64.34999999624999,64.34999999624999,53.387499995000006
2020-10-07,80.47499999875,72.26249999624997,71.88749999625,71.88749999625,56.93749999500001,-3.2196541724260896e-05,0.1315232515335083,7.134856224060059,296.50537109375,-0.0028610891895368,2.843134438990092e-07,302.2190246582031,302.59625244140625,299.3317413330078,300.6390991210937,2.3620053923423256e-05,7898185.875,-3035613.7153320312,1.263481010482792e-06,-1540718.3125,9099970.875,0.0002288393297931,0.1215438842773437,0.1875991225242614,0.2743567824363708,88.87499999874998,77.99999999874998,76.44999999625,76.44999999625,63.224999996250006
